Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
grafo210.10,933,9315,,,timeout,,,,,,,,,,0.543018,0.2994
grafo300.13,900,9574,,,timeout,,,,,,,,,,0.510769,0.2784
grafo301.17,925,9077,,,timeout,,,,,,,,,,0.529681,0.2824
grafo302.17,884,9355,,,timeout,,,,,,,,,,0.514535,0.2813
grafo303.11,992,9114,,,timeout,,,,,,,,,,0.595552,0.2993
grafo304.15,863,8949,,,timeout,,,,,,,,,,0.449531,0.2636
grafo305.16,898,9239,,,timeout,,,,,,,,,,0.507798,0.2717
grafo306.18,975,9363,,,timeout,,,,,,,,,,0.55378,0.2998
grafo307.13,924,9571,,,timeout,,,,,,,,,,0.549994,0.287
grafo308.14,973,8814,,,timeout,,,,,,,,,,0.511994,0.2805
grafo309.26,942,8963,,,timeout,,,,,,,,,,0.511583,0.2687
grafo310.14,907,9005,,,timeout,,,,,,,,,,0.477084,0.2788
grafo311.16,909,8996,,,timeout,,,,,,,,,,0.546637,0.2666
grafo312.27,1003,9170,,,timeout,,,,,,,,,,0.614955,0.3009
grafo316.11,984,9440,,,timeout,,,,,,,,,,0.582001,0.3056
grafo317.13,853,9375,,,timeout,,,,,,,,,,0.499349,0.2771
grafo318.20,935,8940,,,timeout,,,,,,,,,,0.526255,0.2748
grafo319.26,933,9126,,,timeout,,,,,,,,,,0.54681,0.2771
grafo320.35,948,9181,,,timeout,,,,,,,,,,0.539867,0.28
grafo340.15,963,8838,,,timeout,,,,,,,,,,0.539584,0.2816
grafo341.30,921,9180,,,timeout,,,,,,,,,,0.554925,0.2862
grafo342.16,852,8670,,,timeout,,,,,,,,,,0.450005,0.2401
grafo343.14,916,9291,,,timeout,,,,,,,,,,0.582361,0.2843
grafo344.36,986,9135,,,timeout,,,,,,,,,,0.569768,0.2998
grafo345.14,984,8649,,,timeout,,,,,,,,,,0.534168,0.2816
grafo346.19,927,9092,,,timeout,,,,,,,,,,0.515018,0.29
grafo7622.45,1011,677,,,timeout,,,,,,,,,,0.00115,0.0186
grafo7623.45,966,773,,,timeout,,,,,,,,,,0.001362,0.0207
grafo7624.41,152,617,,,timeout,,,,,,,,,,0.00103,0.0059
grafo7625.47,496,857,,,timeout,,,,,,,,,,0.001704,0.014
grafo7626.38,111,617,,,timeout,,,,,,,,,,0.000937,0.0052
grafo7627.57,1068,1042,,,timeout,,,,,,,,,,0.002605,0.0326
grafo7628.47,199,707,,,timeout,,,,,,,,,,0.001272,0.0072
grafo8025.82,767,1349,,,timeout,,,,,,,,,,0.005673,0.0313
grafo8032.68,1198,1147,,,timeout,,,,,,,,,,0.003809,0.0371
grafo8039.65,264,891,,,timeout,,,,,,,,,,0.002841,0.0107
grafo8186.90,1288,1457,,,timeout,,,,,,,,,,0.006764,0.0516
grafo8187.70,921,1099,,,timeout,,,,,,,,,,0.004088,0.0286
grafo8188.62,1130,1104,,,timeout,,,,,,,,,,0.002901,0.0335
grafo8189.85,349,1443,,,timeout,,,,,,,,,,0.006207,0.0199
grafo8190.73,73,1009,,,timeout,,,,,,,,,,0.003202,0.0084
grafo8222.84,851,1407,,,timeout,,,,,,,,,,0.006158,0.0368
grafo8223.99,595,1558,,,timeout,,,,,,,,,,0.007188,0.0301
grafo8224.100,449,1392,,,timeout,,,,,,,,,,0.006555,0.0223
grafo8225.88,1376,1295,,,timeout,,,,,,,,,,0.005267,0.0463
grafo8226.90,685,1282,,,timeout,,,,,,,,,,0.00547,0.0272
