Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo10218.99.zdd,,,timeout,,,,
grafo10220.97.zdd,,,timeout,,,,
grafo10223.100.zdd,,,timeout,,,,
grafo10237.100.zdd,,,timeout,,,,
grafo10244.99.zdd,,,timeout,,,,
grafo10250.100.zdd,,,timeout,,,,
grafo10259.100.zdd,,,timeout,,,,
grafo10262.100.zdd,,,timeout,,,,
grafo10265.100.zdd,,,timeout,,,,
grafo10266.94.zdd,,,timeout,,,,
grafo10269.99.zdd,,,timeout,,,,
grafo10273.97.zdd,,,timeout,,,,
grafo10275.97.zdd,,,timeout,,,,
grafo10288.95.zdd,,,timeout,,,,
grafo10291.93.zdd,,,timeout,,,,
grafo10292.100.zdd,,,timeout,,,,
grafo10293.99.zdd,,,timeout,,,,
grafo10297.98.zdd,,,timeout,,,,
grafo10298.97.zdd,,,timeout,,,,
grafo10303.96.zdd,,,timeout,,,,
grafo10305.100.zdd,,,timeout,,,,
grafo10318.98.zdd,,,timeout,,,,
grafo10325.96.zdd,,,timeout,,,,
grafo10327.97.zdd,,,timeout,,,,
grafo10339.95.zdd,,,timeout,,,,
grafo10346.97.zdd,,,timeout,,,,
grafo10351.97.zdd,,,timeout,,,,
grafo10353.99.zdd,,,timeout,,,,
grafo10354.99.zdd,,,timeout,,,,
grafo10359.95.zdd,,,timeout,,,,
grafo10362.94.zdd,,,timeout,,,,
grafo10365.97.zdd,,,timeout,,,,
grafo10369.100.zdd,,,timeout,,,,
grafo10382.94.zdd,,,timeout,,,,
grafo10383.99.zdd,,,timeout,,,,
grafo10387.97.zdd,,,timeout,,,,
grafo10388.95.zdd,,,timeout,,,,
grafo10393.96.zdd,,,timeout,,,,
grafo10405.97.zdd,,,timeout,,,,
grafo10409.96.zdd,,,timeout,,,,
grafo10416.96.zdd,,,timeout,,,,
grafo10418.100.zdd,,,timeout,,,,
grafo10420.97.zdd,,,timeout,,,,
grafo10421.99.zdd,,,timeout,,,,
grafo10426.100.zdd,,,timeout,,,,
grafo10432.99.zdd,,,timeout,,,,
grafo10434.98.zdd,,,timeout,,,,
grafo10436.95.zdd,,,timeout,,,,
grafo10441.98.zdd,,,timeout,,,,
grafo10444.100.zdd,,,timeout,,,,
grafo10445.94.zdd,,,timeout,,,,
grafo10446.95.zdd,,,timeout,,,,
grafo10452.94.zdd,,,timeout,,,,
grafo10453.97.zdd,,,timeout,,,,
grafo10467.100.zdd,,,timeout,,,,
grafo10469.100.zdd,,,timeout,,,,
grafo10474.94.zdd,,,timeout,,,,
grafo10484.99.zdd,,,timeout,,,,
grafo10488.98.zdd,,,timeout,,,,
grafo10489.95.zdd,,,timeout,,,,
grafo10491.97.zdd,,,timeout,,,,
grafo10492.96.zdd,,,timeout,,,,
grafo10496.98.zdd,,,timeout,,,,
grafo10501.96.zdd,,,timeout,,,,
grafo10502.91.zdd,,,timeout,,,,
grafo10508.100.zdd,,,timeout,,,,
grafo10516.94.zdd,,,timeout,,,,
grafo10522.99.zdd,,,timeout,,,,
grafo10523.97.zdd,,,timeout,,,,
grafo10532.99.zdd,,,timeout,,,,
grafo10533.100.zdd,,,timeout,,,,
grafo10534.100.zdd,,,timeout,,,,
