Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
Ntelos.zdd,,,timeout,,,,
Ntt.zdd,,,1135.4660,,24050,,
Oteglobe.zdd,,,timeout,,,,
Oxford.zdd,,,863.1768,,16900,,
Palmetto.zdd,,,timeout,,,,
Pern.zdd,,,timeout,,,,
PionierL1.zdd,,,0.0026,,9,,
PionierL3.zdd,,,0.0038,,6,,
Quest.zdd,,,timeout,,,,
RedBestel.zdd,,,timeout,,,,
Rediris.zdd,,,timeout,,,,
Renater2001.zdd,,,timeout,,,,
Renater2004.zdd,,,0.0036,,2,,
Renater2006.zdd,,,0.0023,,2,,
Renater2008.zdd,,,0.0030,,6,,
Renater2010.zdd,,,0.0052,,6,,
Restena.zdd,,,timeout,,,,
Reuna.zdd,,,timeout,,,,
Rnp.zdd,,,0.0039,,7,,
Roedunet.zdd,,,0.0047,,11,,
RoedunetFibre.zdd,,,1200.0390,,16875,,
Sago.zdd,,,942.0802,,16875,,
Sanet.zdd,,,0.0044,,4,,
Savvis.zdd,,,1370.6218,,17550,,
Shentel.zdd,,,0.0033,,6,,
Sinet.zdd,,,timeout,,,,
Singaren.zdd,,,timeout,,,,
Sunet.zdd,,,0.0052,,12,,
Surfnet.zdd,,,106.0170,,2030525,,
Switch.zdd,,,timeout,,,,
SwitchL3.zdd,,,292.1794,,4650,,
Syringa.zdd,,,944.9122,,16875,,
TLex.zdd,,,timeout,,,,
TataNld.zdd,,,timeout,,,,
Telcove.zdd,,,timeout,,,,
Tinet.zdd,,,timeout,,,,
Tw.zdd,,,timeout,,,,
Ulaknet.zdd,,,timeout,,,,
UniC.zdd,,,timeout,,,,
Uninet.zdd,,,timeout,,,,
Uninett2010.zdd,,,5.8452,,650,,
Uninett2011.zdd,,,timeout,,,,
Uran.zdd,,,timeout,,,,
UsCarrier.zdd,,,timeout,,,,
Uunet.zdd,,,timeout,,,,
VtlWavenet2011.zdd,,,timeout,,,,
WideJpn.zdd,,,timeout,,,,
Xeex.zdd,,,timeout,,,,
York.zdd,,,timeout,,,,
Zamren.zdd,,,timeout,,,,
grafo10000.38.zdd,,,0.0029,,5,,
grafo10002.40.zdd,,,0.0047,,4,,
grafo10003.40.zdd,,,0.0042,,3,,
grafo10004.32.zdd,,,0.0018,,6,,
grafo10005.39.zdd,,,0.0045,,9,,
grafo10006.98.zdd,,,timeout,,,,
grafo10007.31.zdd,,,0.0035,,14,,
grafo10008.42.zdd,,,timeout,,,,
grafo10009.31.zdd,,,0.0036,,3,,
grafo10010.39.zdd,,,0.0125,,16,,
grafo10011.31.zdd,,,0.0037,,10,,
grafo10012.40.zdd,,,0.0037,,2,,
grafo10013.31.zdd,,,0.0056,,9,,
grafo10014.39.zdd,,,0.0111,,10,,
grafo10015.39.zdd,,,0.0067,,4,,
grafo10016.39.zdd,,,0.0032,,5,,
grafo10017.96.zdd,,,timeout,,,,
grafo10018.31.zdd,,,0.0018,,9,,
grafo10019.38.zdd,,,0.0033,,3,,
grafo10020.38.zdd,,,0.0053,,7,,
grafo10021.39.zdd,,,0.0062,,16,,
grafo10022.31.zdd,,,0.0020,,3,,
grafo10023.39.zdd,,,0.0030,,2,,
grafo10024.32.zdd,,,0.0029,,4,,
grafo10025.31.zdd,,,0.0032,,10,,
grafo10026.32.zdd,,,0.0043,,16,,
grafo10027.38.zdd,,,0.0068,,4,,
grafo10028.96.zdd,,,timeout,,,,
grafo10029.40.zdd,,,0.0045,,6,,
grafo10030.38.zdd,,,0.0033,,2,,
grafo10031.38.zdd,,,0.0025,,3,,
grafo10032.38.zdd,,,0.0028,,5,,
grafo10033.31.zdd,,,0.0029,,5,,
grafo10034.40.zdd,,,0.0046,,5,,
grafo10035.38.zdd,,,0.0067,,6,,
grafo10036.31.zdd,,,0.0016,,5,,
grafo10037.39.zdd,,,0.0041,,8,,
grafo10038.38.zdd,,,0.0043,,3,,
grafo10039.98.zdd,,,timeout,,,,
grafo10040.32.zdd,,,0.0034,,14,,
grafo10041.41.zdd,,,0.0040,,2,,
grafo10042.39.zdd,,,0.0108,,9,,
grafo10043.32.zdd,,,0.0022,,2,,
grafo10044.38.zdd,,,0.0040,,5,,
grafo10045.38.zdd,,,0.0037,,5,,
grafo10046.40.zdd,,,0.0093,,34,,
grafo10047.32.zdd,,,0.0057,,28,,
grafo10048.32.zdd,,,0.0068,,34,,
grafo10049.39.zdd,,,0.0054,,6,,
grafo10050.97.zdd,,,timeout,,,,
grafo10051.30.zdd,,,0.0028,,4,,
grafo10052.32.zdd,,,0.0021,,9,,
grafo10053.32.zdd,,,0.0020,,4,,
grafo10054.40.zdd,,,0.0086,,32,,
grafo10055.40.zdd,,,0.0073,,11,,
grafo10056.31.zdd,,,0.0079,,32,,
grafo10057.40.zdd,,,0.0065,,5,,
grafo10058.32.zdd,,,0.0023,,4,,
grafo10059.32.zdd,,,0.0053,,5,,
grafo10060.90.zdd,,,timeout,,,,
grafo10061.99.zdd,,,timeout,,,,
grafo10062.39.zdd,,,0.0041,,18,,
grafo10063.31.zdd,,,0.0113,,80,,
grafo10064.39.zdd,,,0.0040,,5,,
grafo10065.32.zdd,,,0.0037,,9,,
grafo10066.40.zdd,,,0.0036,,3,,
grafo10067.41.zdd,,,0.0042,,7,,
grafo10068.31.zdd,,,0.0040,,7,,
grafo10069.40.zdd,,,0.0048,,9,,
grafo10070.32.zdd,,,0.0038,,8,,
grafo10071.40.zdd,,,0.0090,,14,,
grafo10072.97.zdd,,,timeout,,,,
grafo10074.90.zdd,,,timeout,,,,
grafo10075.31.zdd,,,0.0037,,7,,
grafo10076.90.zdd,,,timeout,,,,
grafo10077.31.zdd,,,0.0032,,6,,
grafo10078.40.zdd,,,0.0044,,33,,
grafo10079.41.zdd,,,0.0057,,10,,
grafo10080.38.zdd,,,0.0067,,10,,
grafo10081.34.zdd,,,0.0056,,26,,
grafo10082.98.zdd,,,timeout,,,,
grafo10083.38.zdd,,,0.0069,,11,,
grafo10084.97.zdd,,,timeout,,,,
grafo10085.35.zdd,,,0.0067,,11,,
grafo10086.34.zdd,,,0.0048,,6,,
grafo10087.39.zdd,,,0.0085,,26,,
grafo10088.39.zdd,,,0.0051,,4,,
grafo10089.37.zdd,,,0.0045,,2,,
