Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
Ilan.zdd,,,,5.9905,,23427360,721
Integra.zdd,,,,5.6339,,523125,251
Intellifiber.zdd,,,,6.2172,,21450,213
Internetmci.zdd,,,,0.0063,,8,21
Internode.zdd,,,,2.8708,,110000000,200
Interoute.zdd,,,,322.5327,,2757235212886070112,1875300
Intranetwork.zdd,,,,0.0165,,4,16
Ion.zdd,,,,2.9875,,134534400,292
IowaStatewideFiberMap.zdd,,,,2.1575,,1100000,147
Iris.zdd,,,,692.2512,,18356217980362155904,3272266
Janetbackbone.zdd,,,,0.0061,,3,11
Janetlense.zdd,,,,3.9414,,1175040,204
Kdl.zdd,,,,2.0114,,750,125
KentmanApr2007.zdd,,,,9.3230,,78088400,122946
KentmanAug2005.zdd,,,,0.8218,,728,121
KentmanJan2011.zdd,,,,4.6988,,1795200,237
Kreonet.zdd,,,,2.9965,,192000000,239
LambdaNet.zdd,,,,14.3795,,768288950,149328
Latnet.zdd,,,,222.0544,,18159868829822025728,267883
Layer42.zdd,,,,3.9096,,1179120,204
Litnet.zdd,,,,3.8042,,10000000,180
Marwan.zdd,,,,4.1564,,16250,181
Missouri.zdd,,,,152.6336,,7262518377883631616,195604
Mren.zdd,,,,2.2760,,1695744,212
Myren.zdd,,,,0.0072,,9,23
NetworkUsa.zdd,,,,4.2839,,605000000,280
Niif.zdd,,,,0.0042,,3,12
Nordu1997.zdd,,,,3.6520,,154000000,215
Nsfnet.zdd,,,,3.0515,,26400000,255
Ntelos.zdd,,,,33.7053,,10256150954952,280484
Ntt.zdd,,,,4.0191,,24050,225
Oteglobe.zdd,,,,1.6551,,1950000,174
Oxford.zdd,,,,5.1142,,16900,175
Palmetto.zdd,,,,timeout,,,
Pern.zdd,,,,5.4130,,12081714032677486592,720
PionierL1.zdd,,,,0.0049,,9,15
PionierL3.zdd,,,,0.0094,,6,16
Quest.zdd,,,,16.8365,,664950,2263
RedBestel.zdd,,,,2.4409,,1323008,214
Rediris.zdd,,,,7.6368,,26744400,878
Renater2001.zdd,,,,3.0585,,1430550,205
Renater2004.zdd,,,,0.0056,,2,7
Renater2006.zdd,,,,0.0052,,2,9
Renater2008.zdd,,,,0.0050,,6,15
Renater2010.zdd,,,,0.0112,,6,17
Restena.zdd,,,,4.1588,,18215680,16968
Reuna.zdd,,,,7.1851,,474552,259
Rnp.zdd,,,,0.0059,,7,18
Roedunet.zdd,,,,0.0093,,11,27
RoedunetFibre.zdd,,,,4.3797,,16875,172
Sago.zdd,,,,4.1862,,16875,186
Sanet.zdd,,,,0.0078,,4,13
Savvis.zdd,,,,6.0183,,17550,172
Shentel.zdd,,,,0.0035,,6,12
Sinet.zdd,,,,412.8182,,11058759333406834688,273957
Singaren.zdd,,,,3.3295,,1300500,215
Sunet.zdd,,,,0.0095,,12,27
Surfnet.zdd,,,,2.9558,,2030525,27347
Switch.zdd,,,,50.7391,,8686576419121135616,73524
SwitchL3.zdd,,,,7.7738,,4650,601
Syringa.zdd,,,,3.3370,,16875,181
TLex.zdd,,,,2.1650,,13200000,190
TataNld.zdd,,,,540.6719,,14745294730356347890,2907626
Telcove.zdd,,,,3.2788,,15900000,367
Tinet.zdd,,,,440.4525,,17334874733804519424,322807
Tw.zdd,,,,1233.4850,,11946787347461221376,861701
Ulaknet.zdd,,,,2.2232,,1395360,216
UniC.zdd,,,,1.7458,,3250000,246
Uninet.zdd,,,,2.2304,,50400000,219
Uninett2010.zdd,,,,0.8592,,650,120
Uninett2011.zdd,,,,8.4823,,422500,242
Uran.zdd,,,,3.3762,,110000000,216
UsCarrier.zdd,,,,4.6857,,3794400,323
Uunet.zdd,,,,2.6188,,12100000,183
VtlWavenet2011.zdd,,,,2.1675,,121440000,279
WideJpn.zdd,,,,7.7847,,32500,271
Xeex.zdd,,,,2.3551,,254100000,244
York.zdd,,,,12.9423,,325517312,3297
Zamren.zdd,,,,1.2026,,1800000,172
grafo10000.38.zdd,,,,0.0072,,5,17
grafo10002.40.zdd,,,,0.0072,,4,12
grafo10003.40.zdd,,,,0.0093,,3,13
grafo10004.32.zdd,,,,0.0035,,6,15
grafo10005.39.zdd,,,,0.0081,,9,22
grafo10006.98.zdd,,,,timeout,,,
grafo10007.31.zdd,,,,0.0056,,14,30
grafo10008.42.zdd,,,,57.3739,,6417864188208,495457
grafo10009.31.zdd,,,,0.0058,,3,10
grafo10010.39.zdd,,,,0.0100,,16,21
grafo10011.31.zdd,,,,0.0058,,10,18
grafo10012.40.zdd,,,,0.0091,,2,13
grafo10013.31.zdd,,,,0.0080,,9,18
grafo10014.39.zdd,,,,0.0123,,10,19
grafo10015.39.zdd,,,,0.0088,,4,11
grafo10016.39.zdd,,,,0.0078,,5,18
grafo10017.96.zdd,,,,timeout,,,
grafo10018.31.zdd,,,,0.0027,,9,18
grafo10019.38.zdd,,,,0.0064,,3,12
grafo10020.38.zdd,,,,0.0097,,7,22
grafo10021.39.zdd,,,,0.0103,,16,40
grafo10022.31.zdd,,,,0.0031,,3,9
grafo10023.39.zdd,,,,0.0071,,2,11
grafo10024.32.zdd,,,,0.0055,,4,11
grafo10025.31.zdd,,,,0.0051,,10,25
grafo10026.32.zdd,,,,0.0063,,16,28
grafo10027.38.zdd,,,,0.0115,,4,14
grafo10028.96.zdd,,,,timeout,,,
grafo10029.40.zdd,,,,0.0097,,6,22
grafo10030.38.zdd,,,,0.0078,,2,11
grafo10031.38.zdd,,,,0.0056,,3,12
grafo10032.38.zdd,,,,0.0064,,5,18
grafo10033.31.zdd,,,,0.0045,,5,15
grafo10034.40.zdd,,,,0.0093,,5,19
grafo10035.38.zdd,,,,0.0071,,6,13
grafo10036.31.zdd,,,,0.0029,,5,13
grafo10037.39.zdd,,,,0.0084,,8,23
grafo10038.38.zdd,,,,0.0075,,3,13
grafo10039.98.zdd,,,,7.7804,,7787599576649932800,742
grafo10040.32.zdd,,,,0.0052,,14,30
grafo10041.41.zdd,,,,0.0090,,2,12
grafo10042.39.zdd,,,,0.0164,,9,28
grafo10043.32.zdd,,,,0.0042,,2,8
grafo10044.38.zdd,,,,0.0073,,5,16
grafo10045.38.zdd,,,,0.0076,,5,15
grafo10046.40.zdd,,,,0.0135,,34,63
grafo10047.32.zdd,,,,0.0060,,28,28
grafo10048.32.zdd,,,,0.0095,,34,60
grafo10049.39.zdd,,,,0.0068,,6,16
grafo10050.97.zdd,,,,7.3948,,1045858802662899712,808
grafo10051.30.zdd,,,,0.0031,,4,9
grafo10052.32.zdd,,,,0.0037,,9,18
grafo10053.32.zdd,,,,0.0040,,4,13
grafo10054.40.zdd,,,,0.0097,,32,34
grafo10055.40.zdd,,,,0.0129,,11,31
grafo10056.31.zdd,,,,0.0096,,32,52
grafo10057.40.zdd,,,,0.0118,,5,16
grafo10058.32.zdd,,,,0.0045,,4,15
grafo10059.32.zdd,,,,0.0082,,5,15
grafo10060.90.zdd,,,,172.5243,,13250735813563514880,171086
grafo10061.99.zdd,,,,6.7521,,12536028056096309248,836
grafo10062.39.zdd,,,,0.0058,,18,21
grafo10063.31.zdd,,,,0.0083,,80,60
grafo10064.39.zdd,,,,0.0089,,5,18
grafo10065.32.zdd,,,,0.0055,,9,18
grafo10066.40.zdd,,,,0.0084,,3,13
grafo10067.41.zdd,,,,0.0084,,7,21
grafo10068.31.zdd,,,,0.0062,,7,15
grafo10069.40.zdd,,,,0.0084,,9,22
grafo10070.32.zdd,,,,0.0059,,8,15
grafo10071.40.zdd,,,,0.0108,,14,21
grafo10072.97.zdd,,,,timeout,,,
grafo10074.90.zdd,,,,4.8229,,6141809209302319104,713
grafo10075.31.zdd,,,,0.0049,,7,18
grafo10076.90.zdd,,,,4.0654,,10984464691200000000,622
grafo10077.31.zdd,,,,0.0046,,6,16
grafo10078.40.zdd,,,,0.0086,,33,54
grafo10079.41.zdd,,,,0.0098,,10,26
grafo10080.38.zdd,,,,0.0124,,10,27
grafo10081.34.zdd,,,,0.0068,,26,31
grafo10082.98.zdd,,,,5.1030,,2099014104808660992,688
grafo10083.38.zdd,,,,0.0117,,11,30
grafo10084.97.zdd,,,,timeout,,,
grafo10085.35.zdd,,,,0.0103,,11,30
grafo10086.34.zdd,,,,0.0075,,6,26
grafo10087.39.zdd,,,,0.0098,,26,28
grafo10088.39.zdd,,,,0.0095,,4,15
grafo10089.37.zdd,,,,0.0086,,2,10
grafo10090.97.zdd,,,,248.9065,,9352024234416668672,232199
grafo10091.96.zdd,,,,5.1790,,15213825313170522112,767
grafo10092.97.zdd,,,,5.2050,,196961480233451520,706
grafo10093.98.zdd,,,,timeout,,,
grafo10095.93.zdd,,,,260.6715,,14881019838228070400,232254
grafo10096.95.zdd,,,,5.3557,,2624132039180651520,694
grafo10097.95.zdd,,,,353.2549,,13911513145591595008,320549
grafo10098.95.zdd,,,,5.5340,,11249223651727245312,744
grafo10099.94.zdd,,,,timeout,,,
grafo10100.99.zdd,,,,timeout,,,
grafo10101.92.zdd,,,,4.3491,,7723855142212532224,649
grafo10102.97.zdd,,,,5.7177,,6859021840995319808,709
grafo10103.98.zdd,,,,7.0762,,1014194704783147008,744
grafo10104.96.zdd,,,,422.4528,,9181605714749917568,3430585
grafo10105.93.zdd,,,,timeout,,,
grafo10106.100.zdd,,,,224.5066,,3916956185028722688,232815
grafo10107.93.zdd,,,,6.4385,,13736397173008891904,756
grafo10108.99.zdd,,,,5.4283,,10091036188644212736,708
grafo10109.95.zdd,,,,5.2181,,2811028379684896768,631
grafo10110.97.zdd,,,,272.4461,,2123547978122657792,338336
grafo10111.96.zdd,,,,195.0809,,2861636958323535872,261040
grafo10112.98.zdd,,,,timeout,,,
grafo10113.94.zdd,,,,timeout,,,
grafo10114.95.zdd,,,,183.7203,,4729097438600626176,202243
grafo10115.92.zdd,,,,212.8907,,16936134063624814592,234014
grafo10116.100.zdd,,,,419.2538,,2053010476076851520,3045013
grafo10117.98.zdd,,,,150.6479,,2744572485903056896,221036
grafo10118.97.zdd,,,,5.5001,,834486578622496768,637
grafo10120.96.zdd,,,,104.3147,,3137129707405766656,109172
grafo10121.95.zdd,,,,160.8840,,491242073891307520,173324
grafo10122.96.zdd,,,,125.3299,,4575429609859842048,119681
grafo10123.96.zdd,,,,4.9843,,316697600682262528,680
grafo10124.100.zdd,,,,timeout,,,
grafo10125.99.zdd,,,,193.9710,,5967727462589661184,236026
grafo10126.98.zdd,,,,timeout,,,
